Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
Goat,7,41.9,blood in stool,swelling in abdomen,sweats,Rift Valley Fever
Cow,7,41.9,chills,swelling in abdomen,blood in stool,Rift Valley Fever
Sheep,8,41.2,matted eyes,sores on gums,fatigue,PPR
Cow,8,41.8,swelling in limb,lacrimation,swelling in neck,East Coast Fever
Cow,2,42.3,loss of appetite,difficulty walking,swelling in limb,East Coast Fever
Poultry,2,42.5,greenish diarrhea,sudden death,fatigue,Newcastle Disease
Goat,8,41.7,chest discomfort,loss of appetite,extended neck,CCPP
Cow,8,41.7,jaundice,fatigue,mass abortion,Rift Valley Fever
Poultry,7,42.8,sudden death,depression,fatigue,Newcastle Disease
Goat,4,41.4,jaundice,swelling in abdomen,fatigue,Rift Valley Fever
Goat,4,41.5,crackling sound,extended neck,loss of appetite,CCPP
Cow,8,42.4,loss of appetite,swelling in neck,fatigue,East Coast Fever
Goat,3,41.4,chest discomfort,shortness of breath,crackling sound,CCPP
Goat,5,41.7,fatigue,matted eyes,sores on mouth,PPR
Goat,4,41.0,sores on gums,fatigue,foul diarrhea,PPR
Cow,8,41.9,swelling in limb,fatigue,lacrimation,East Coast Fever
Goat,4,41.5,swelling in abdomen,chills,jaundice,Rift Valley Fever
Goat,5,41.4,loss of appetite,chest discomfort,fatigue,CCPP
Poultry,4,42.5,difficulty walking,fatigue,sudden death,Newcastle Disease
Cow,3,41.6,difficulty walking,swelling in neck,lacrimation,East Coast Fever
Cow,7,42.5,difficulty walking,lacrimation,fatigue,East Coast Fever
Cow,6,42.9,loss of appetite,swelling in limb,lacrimation,East Coast Fever
Poultry,5,42.8,sudden death,fatigue,twisted neck,Newcastle Disease
Sheep,5,41.4,blood in stool,jaundice,swelling in abdomen,Rift Valley Fever
Sheep,6,41.2,swelling in abdomen,sweats,fatigue,Rift Valley Fever
Goat,2,41.6,sweats,blood in stool,jaundice,Rift Valley Fever
Cow,6,42.5,difficulty walking,lacrimation,loss of appetite,East Coast Fever
Sheep,4,40.9,sores on tongue,loss of appetite,sores on mouth,PPR
Cow,6,42.3,swelling in limb,fatigue,loss of appetite,East Coast Fever
Cow,1,41.8,swelling in limb,fatigue,lacrimation,East Coast Fever
Poultry,1,44.4,twisted neck,depression,chills,Newcastle Disease
Goat,5,42.2,painful cough,crackling sound,shortness of breath,CCPP
Cow,8,43.1,fatigue,swelling in limb,lacrimation,East Coast Fever
Goat,2,41.1,sores on gums,loss of appetite,foul diarrhea,PPR
Cow,3,41.8,loss of appetite,swelling in neck,fatigue,East Coast Fever
Cow,5,42.4,swelling in limb,lacrimation,fatigue,East Coast Fever
Goat,6,41.7,sores on gums,sores on mouth,matted eyes,PPR
Sheep,6,41.1,sores on gums,matted eyes,sores on mouth,PPR
Sheep,8,41.5,swelling in abdomen,mass abortion,chills,Rift Valley Fever
Cow,7,42.0,swelling in limb,frothing at mouth,difficulty walking,East Coast Fever
Goat,3,40.8,crackling sound,painful cough,fatigue,CCPP
Cow,1,42.2,swelling in limb,fatigue,difficulty walking,East Coast Fever
Goat,8,41.6,extended neck,chest discomfort,shortness of breath,CCPP
Goat,2,41.3,loss of appetite,sores on tongue,sores on mouth,PPR
Sheep,4,41.8,foul diarrhea,matted eyes,sores on tongue,PPR
Goat,6,41.2,extended neck,loss of appetite,fatigue,CCPP
Goat,4,40.9,painful cough,extended neck,fatigue,CCPP
Poultry,3,43.5,fatigue,depression,twisted neck,Newcastle Disease
Goat,4,40.8,chest discomfort,loss of appetite,crackling sound,CCPP
Cow,7,41.7,blood in stool,chills,jaundice,Rift Valley Fever
Goat,4,40.7,loss of appetite,sores on tongue,matted eyes,PPR
Goat,1,40.7,loss of appetite,fatigue,shortness of breath,CCPP
Goat,1,40.5,sores on mouth,sores on tongue,loss of appetite,PPR
Cow,2,42.0,frothing at mouth,swelling in neck,fatigue,East Coast Fever
Sheep,2,40.8,sores on gums,sores on tongue,foul diarrhea,PPR
Goat,4,41.2,sores on mouth,fatigue,sores on tongue,PPR
Cow,5,42.0,difficulty walking,loss of appetite,fatigue,East Coast Fever
Goat,3,41.2,foul diarrhea,fatigue,sores on mouth,PPR
Cow,5,42.0,lacrimation,fatigue,swelling in limb,East Coast Fever
Poultry,1,43.3,sudden death,greenish diarrhea,depression,Newcastle Disease
Cow,5,42.8,swelling in neck,lacrimation,fatigue,East Coast Fever
Poultry,5,43.8,greenish diarrhea,twisted neck,depression,Newcastle Disease
Poultry,7,42.5,sudden death,chills,difficulty walking,Newcastle Disease
Goat,1,42.0,sweats,blood in stool,swelling in abdomen,Rift Valley Fever
Poultry,1,42.2,depression,difficulty walking,chills,Newcastle Disease
Goat,2,40.9,foul diarrhea,sores on tongue,sores on gums,PPR
Goat,2,41.6,sores on tongue,loss of appetite,foul diarrhea,PPR
Goat,2,41.7,chills,jaundice,fatigue,Rift Valley Fever
Cow,1,42.9,difficulty walking,lacrimation,swelling in limb,East Coast Fever
Goat,4,41.1,chest discomfort,fatigue,shortness of breath,CCPP
Poultry,7,43.6,sudden death,chills,greenish diarrhea,Newcastle Disease
Goat,6,40.8,loss of appetite,sores on mouth,sores on gums,PPR
Goat,6,42.2,fatigue,painful cough,loss of appetite,CCPP
Goat,3,40.9,sores on mouth,sores on gums,matted eyes,PPR
Cow,7,41.9,lacrimation,difficulty walking,loss of appetite,East Coast Fever
Sheep,7,41.0,sores on mouth,sores on gums,sores on tongue,PPR
Sheep,2,41.8,foul diarrhea,sores on gums,loss of appetite,PPR
Goat,6,41.9,blood in stool,swelling in abdomen,mass abortion,Rift Valley Fever
Sheep,2,41.3,matted eyes,fatigue,sores on gums,PPR
Cow,3,41.6,jaundice,sweats,swelling in abdomen,Rift Valley Fever
Poultry,4,43.5,chills,difficulty walking,greenish diarrhea,Newcastle Disease
Poultry,5,42.6,depression,twisted neck,chills,Newcastle Disease
Poultry,5,43.3,greenish diarrhea,fatigue,sudden death,Newcastle Disease
Cow,5,41.6,sweats,swelling in abdomen,fatigue,Rift Valley Fever
Goat,6,42.0,loss of appetite,fatigue,extended neck,CCPP
Cow,5,41.7,swelling in limb,swelling in neck,lacrimation,East Coast Fever
Cow,8,41.5,difficulty walking,lacrimation,frothing at mouth,East Coast Fever
Goat,6,42.0,fatigue,crackling sound,chest discomfort,CCPP
Poultry,1,42.3,depression,difficulty walking,chills,Newcastle Disease
Cow,2,42.3,swelling in limb,lacrimation,swelling in neck,East Coast Fever
Poultry,4,43.7,depression,sudden death,fatigue,Newcastle Disease
Cow,7,41.9,chills,sweats,mass abortion,Rift Valley Fever
Sheep,5,41.1,sores on gums,foul diarrhea,loss of appetite,PPR
Goat,7,42.4,jaundice,blood in stool,sweats,Rift Valley Fever
Poultry,8,42.7,chills,greenish diarrhea,twisted neck,Newcastle Disease
Poultry,5,42.6,twisted neck,fatigue,chills,Newcastle Disease
Goat,6,41.1,painful cough,fatigue,loss of appetite,CCPP
Sheep,5,41.4,sores on gums,matted eyes,fatigue,PPR
Goat,4,41.1,crackling sound,loss of appetite,chest discomfort,CCPP
Goat,1,42.1,fatigue,crackling sound,shortness of breath,CCPP
Sheep,4,41.1,sweats,blood in stool,swelling in abdomen,Rift Valley Fever
Sheep,2,40.9,loss of appetite,foul diarrhea,sores on tongue,PPR
Goat,3,41.2,shortness of breath,loss of appetite,crackling sound,CCPP
Sheep,8,41.0,loss of appetite,foul diarrhea,sores on mouth,PPR
Cow,3,40.8,sweats,fatigue,blood in stool,Rift Valley Fever
Cow,6,42.2,sweats,chills,jaundice,Rift Valley Fever
Poultry,5,43.7,twisted neck,sudden death,difficulty walking,Newcastle Disease
Goat,2,41.5,matted eyes,loss of appetite,sores on mouth,PPR
Cow,3,42.7,fatigue,difficulty walking,swelling in neck,East Coast Fever
Goat,6,41.8,chest discomfort,loss of appetite,fatigue,CCPP
Goat,6,41.8,matted eyes,loss of appetite,sores on gums,PPR
Sheep,1,42.0,fatigue,sweats,jaundice,Rift Valley Fever
Sheep,1,40.5,sores on mouth,foul diarrhea,matted eyes,PPR
Goat,3,42.0,fatigue,loss of appetite,painful cough,CCPP
Goat,2,40.8,chills,sweats,jaundice,Rift Valley Fever
Poultry,2,43.9,sudden death,difficulty walking,fatigue,Newcastle Disease
Poultry,7,42.9,sudden death,greenish diarrhea,difficulty walking,Newcastle Disease
Cow,1,41.9,frothing at mouth,swelling in neck,swelling in limb,East Coast Fever
Sheep,6,41.1,swelling in abdomen,blood in stool,chills,Rift Valley Fever
Sheep,7,40.5,fatigue,sores on tongue,sores on gums,PPR
Cow,5,41.3,fatigue,swelling in limb,lacrimation,East Coast Fever
Cow,8,41.8,loss of appetite,frothing at mouth,lacrimation,East Coast Fever
Poultry,5,42.9,sudden death,difficulty walking,twisted neck,Newcastle Disease
Goat,3,40.7,loss of appetite,chest discomfort,extended neck,CCPP
Goat,8,41.6,sores on gums,fatigue,foul diarrhea,PPR
Poultry,5,44.2,depression,chills,twisted neck,Newcastle Disease
Cow,8,42.3,lacrimation,swelling in limb,frothing at mouth,East Coast Fever
Goat,3,41.7,fatigue,foul diarrhea,matted eyes,PPR
Poultry,1,44.4,fatigue,twisted neck,sudden death,Newcastle Disease
Sheep,4,42.0,blood in stool,jaundice,sweats,Rift Valley Fever
Cow,3,41.8,blood in stool,fatigue,sweats,Rift Valley Fever
Cow,7,41.6,loss of appetite,swelling in neck,difficulty walking,East Coast Fever
Goat,2,40.8,crackling sound,shortness of breath,painful cough,CCPP
Sheep,4,40.8,fatigue,sores on tongue,foul diarrhea,PPR
Poultry,4,43.9,twisted neck,fatigue,greenish diarrhea,Newcastle Disease
Poultry,1,42.6,greenish diarrhea,sudden death,depression,Newcastle Disease
Goat,5,41.0,chest discomfort,crackling sound,shortness of breath,CCPP
Goat,2,41.0,jaundice,fatigue,mass abortion,Rift Valley Fever
Goat,5,41.7,blood in stool,jaundice,sweats,Rift Valley Fever
Cow,2,41.9,sweats,fatigue,swelling in abdomen,Rift Valley Fever
Poultry,4,44.0,depression,fatigue,greenish diarrhea,Newcastle Disease
Sheep,6,40.9,sores on gums,fatigue,matted eyes,PPR
Goat,7,41.3,fatigue,sores on tongue,matted eyes,PPR
Goat,6,41.1,crackling sound,extended neck,painful cough,CCPP
Poultry,7,44.3,twisted neck,chills,sudden death,Newcastle Disease
Goat,3,42.6,chest discomfort,painful cough,loss of appetite,CCPP
Cow,2,42.0,chills,mass abortion,swelling in abdomen,Rift Valley Fever
Poultry,1,43.0,depression,greenish diarrhea,difficulty walking,Newcastle Disease
Sheep,7,41.9,foul diarrhea,sores on mouth,sores on gums,PPR
Goat,3,41.7,chest discomfort,shortness of breath,fatigue,CCPP
Poultry,7,43.5,fatigue,depression,difficulty walking,Newcastle Disease
Poultry,7,43.5,depression,difficulty walking,twisted neck,Newcastle Disease
Cow,2,41.3,swelling in limb,lacrimation,swelling in neck,East Coast Fever
Sheep,8,41.5,loss of appetite,sores on mouth,foul diarrhea,PPR
Cow,8,42.5,difficulty walking,swelling in limb,fatigue,East Coast Fever
Goat,3,41.3,crackling sound,loss of appetite,chest discomfort,CCPP
Poultry,5,43.6,fatigue,greenish diarrhea,difficulty walking,Newcastle Disease
Poultry,1,44.6,depression,sudden death,difficulty walking,Newcastle Disease
Cow,6,41.4,chills,mass abortion,fatigue,Rift Valley Fever
Goat,8,40.9,chest discomfort,painful cough,shortness of breath,CCPP
Sheep,6,42.1,sweats,mass abortion,swelling in abdomen,Rift Valley Fever
Goat,2,42.4,chest discomfort,fatigue,loss of appetite,CCPP
Poultry,1,44.5,difficulty walking,twisted neck,depression,Newcastle Disease
Cow,4,41.4,loss of appetite,frothing at mouth,fatigue,East Coast Fever
Goat,6,41.0,chest discomfort,fatigue,crackling sound,CCPP
Sheep,8,40.5,fatigue,sores on tongue,matted eyes,PPR
Sheep,3,41.5,fatigue,sweats,chills,Rift Valley Fever
Goat,6,41.3,loss of appetite,fatigue,painful cough,CCPP
Cow,7,42.9,lacrimation,swelling in limb,swelling in neck,East Coast Fever
Sheep,6,40.5,fatigue,sores on mouth,sores on tongue,PPR
Goat,4,40.7,fatigue,sores on tongue,matted eyes,PPR
Cow,7,42.4,swelling in neck,frothing at mouth,fatigue,East Coast Fever
Poultry,7,44.2,fatigue,greenish diarrhea,twisted neck,Newcastle Disease
Poultry,6,44.2,difficulty walking,twisted neck,greenish diarrhea,Newcastle Disease
Poultry,8,44.6,greenish diarrhea,chills,difficulty walking,Newcastle Disease
Goat,5,41.5,crackling sound,chest discomfort,shortness of breath,CCPP
Goat,1,41.0,sores on mouth,loss of appetite,matted eyes,PPR
Sheep,2,41.8,swelling in abdomen,mass abortion,fatigue,Rift Valley Fever
Cow,2,42.1,difficulty walking,lacrimation,frothing at mouth,East Coast Fever
Goat,8,40.8,loss of appetite,crackling sound,chest discomfort,CCPP
Poultry,8,42.6,sudden death,depression,twisted neck,Newcastle Disease
Cow,6,42.1,frothing at mouth,swelling in limb,swelling in neck,East Coast Fever
Cow,3,41.8,fatigue,loss of appetite,swelling in limb,East Coast Fever
Sheep,6,41.9,fatigue,jaundice,blood in stool,Rift Valley Fever
Cow,1,42.6,swelling in limb,loss of appetite,lacrimation,East Coast Fever
Cow,4,41.7,fatigue,loss of appetite,difficulty walking,East Coast Fever
Cow,7,42.0,fatigue,lacrimation,swelling in limb,East Coast Fever
Cow,5,42.7,frothing at mouth,fatigue,lacrimation,East Coast Fever
Goat,7,41.5,extended neck,crackling sound,fatigue,CCPP
Sheep,2,40.7,blood in stool,chills,swelling in abdomen,Rift Valley Fever
Cow,4,42.2,loss of appetite,fatigue,swelling in neck,East Coast Fever
Cow,7,41.4,swelling in limb,lacrimation,difficulty walking,East Coast Fever
Goat,4,41.8,crackling sound,painful cough,shortness of breath,CCPP
Goat,8,41.1,chest discomfort,shortness of breath,crackling sound,CCPP
Cow,2,42.0,swelling in neck,swelling in limb,lacrimation,East Coast Fever
Cow,2,42.7,fatigue,lacrimation,loss of appetite,East Coast Fever
Goat,4,41.2,extended neck,fatigue,shortness of breath,CCPP
Goat,6,41.0,sores on gums,sores on tongue,loss of appetite,PPR
Goat,3,40.8,loss of appetite,extended neck,fatigue,CCPP
Cow,4,41.1,difficulty walking,loss of appetite,frothing at mouth,East Coast Fever
Goat,4,41.6,crackling sound,shortness of breath,loss of appetite,CCPP
Goat,7,41.0,chest discomfort,shortness of breath,loss of appetite,CCPP
Poultry,1,43.8,sudden death,fatigue,twisted neck,Newcastle Disease
Cow,2,42.0,frothing at mouth,fatigue,difficulty walking,East Coast Fever
Cow,7,42.0,mass abortion,chills,sweats,Rift Valley Fever
Cow,4,42.6,swelling in neck,lacrimation,frothing at mouth,East Coast Fever
Poultry,2,43.4,twisted neck,chills,greenish diarrhea,Newcastle Disease
Goat,4,41.1,jaundice,swelling in abdomen,chills,Rift Valley Fever
Cow,4,42.5,lacrimation,loss of appetite,difficulty walking,East Coast Fever
Poultry,5,44.3,sudden death,greenish diarrhea,depression,Newcastle Disease
Sheep,3,40.3,loss of appetite,sores on tongue,matted eyes,PPR
Poultry,1,42.6,chills,sudden death,fatigue,Newcastle Disease
Poultry,5,43.1,fatigue,greenish diarrhea,difficulty walking,Newcastle Disease
Cow,3,41.5,frothing at mouth,lacrimation,fatigue,East Coast Fever
Goat,4,41.4,extended neck,shortness of breath,crackling sound,CCPP
Poultry,3,44.7,depression,sudden death,difficulty walking,Newcastle Disease
Sheep,4,41.3,fatigue,chills,mass abortion,Rift Valley Fever
Goat,1,42.1,shortness of breath,painful cough,chest discomfort,CCPP
Cow,1,41.7,sweats,mass abortion,swelling in abdomen,Rift Valley Fever
Poultry,4,44.7,sudden death,twisted neck,difficulty walking,Newcastle Disease
Sheep,5,40.8,matted eyes,fatigue,loss of appetite,PPR
Sheep,1,41.3,sores on mouth,loss of appetite,sores on tongue,PPR
Sheep,7,41.2,fatigue,sores on gums,foul diarrhea,PPR
Goat,6,40.9,sores on mouth,fatigue,sores on tongue,PPR
Goat,7,40.7,matted eyes,sores on mouth,foul diarrhea,PPR
Sheep,1,41.9,sores on mouth,foul diarrhea,loss of appetite,PPR
Goat,8,42.1,painful cough,crackling sound,loss of appetite,CCPP
Cow,6,42.2,sweats,mass abortion,chills,Rift Valley Fever
Poultry,2,43.5,sudden death,twisted neck,greenish diarrhea,Newcastle Disease
Cow,4,41.4,swelling in neck,fatigue,lacrimation,East Coast Fever
Goat,3,40.6,fatigue,sores on gums,sores on mouth,PPR
Goat,6,41.8,swelling in abdomen,jaundice,fatigue,Rift Valley Fever
Cow,3,42.2,swelling in neck,swelling in limb,lacrimation,East Coast Fever
Poultry,2,42.7,greenish diarrhea,difficulty walking,fatigue,Newcastle Disease
Poultry,7,43.2,twisted neck,depression,greenish diarrhea,Newcastle Disease
Cow,8,41.5,swelling in abdomen,sweats,mass abortion,Rift Valley Fever
Cow,3,42.2,lacrimation,frothing at mouth,loss of appetite,East Coast Fever
Poultry,4,44.4,difficulty walking,fatigue,greenish diarrhea,Newcastle Disease
Sheep,5,41.8,chills,mass abortion,swelling in abdomen,Rift Valley Fever
Goat,7,40.9,jaundice,blood in stool,mass abortion,Rift Valley Fever
Poultry,7,42.5,greenish diarrhea,depression,chills,Newcastle Disease
Goat,8,40.7,crackling sound,fatigue,loss of appetite,CCPP
Poultry,8,44.0,sudden death,chills,difficulty walking,Newcastle Disease
Poultry,3,42.3,difficulty walking,sudden death,greenish diarrhea,Newcastle Disease
Goat,6,41.4,swelling in abdomen,jaundice,fatigue,Rift Valley Fever
Cow,2,41.7,loss of appetite,difficulty walking,frothing at mouth,East Coast Fever
Sheep,1,41.7,sores on mouth,sores on gums,fatigue,PPR
Poultry,5,42.6,sudden death,difficulty walking,fatigue,Newcastle Disease
Sheep,6,40.9,sores on mouth,foul diarrhea,fatigue,PPR
Poultry,6,43.6,twisted neck,chills,greenish diarrhea,Newcastle Disease
Sheep,6,40.6,sores on mouth,foul diarrhea,matted eyes,PPR
Goat,6,41.9,sweats,fatigue,mass abortion,Rift Valley Fever
Goat,1,42.1,blood in stool,mass abortion,swelling in abdomen,Rift Valley Fever
Cow,6,41.7,loss of appetite,swelling in neck,difficulty walking,East Coast Fever
Poultry,2,43.6,twisted neck,sudden death,greenish diarrhea,Newcastle Disease
Goat,4,41.0,chills,jaundice,sweats,Rift Valley Fever
Sheep,2,40.3,sores on tongue,foul diarrhea,sores on mouth,PPR
Goat,8,41.1,sores on gums,loss of appetite,matted eyes,PPR
Goat,5,41.4,matted eyes,sores on tongue,sores on gums,PPR
Sheep,6,42.1,foul diarrhea,loss of appetite,sores on mouth,PPR
Goat,1,41.6,swelling in abdomen,mass abortion,jaundice,Rift Valley Fever
Goat,6,40.7,fatigue,sores on mouth,sores on gums,PPR
Poultry,3,44.3,sudden death,twisted neck,greenish diarrhea,Newcastle Disease
Cow,7,42.5,difficulty walking,swelling in neck,swelling in limb,East Coast Fever
Goat,7,41.9,shortness of breath,fatigue,extended neck,CCPP
Goat,2,41.1,jaundice,blood in stool,mass abortion,Rift Valley Fever
Cow,4,42.2,swelling in limb,difficulty walking,fatigue,East Coast Fever
Goat,7,42.2,fatigue,painful cough,chest discomfort,CCPP
Cow,1,41.9,swelling in neck,lacrimation,frothing at mouth,East Coast Fever
Poultry,3,44.8,depression,twisted neck,fatigue,Newcastle Disease
Poultry,6,44.1,twisted neck,depression,difficulty walking,Newcastle Disease
Cow,8,42.6,lacrimation,difficulty walking,swelling in neck,East Coast Fever
Sheep,8,41.6,sores on mouth,matted eyes,fatigue,PPR
Goat,8,40.3,matted eyes,sores on tongue,sores on mouth,PPR
Cow,1,43.0,frothing at mouth,fatigue,difficulty walking,East Coast Fever
Goat,4,41.8,sores on mouth,sores on gums,matted eyes,PPR
Goat,2,41.4,matted eyes,sores on gums,foul diarrhea,PPR
Poultry,7,44.5,fatigue,twisted neck,chills,Newcastle Disease
Cow,8,42.1,lacrimation,swelling in limb,difficulty walking,East Coast Fever
Poultry,6,44.1,chills,sudden death,depression,Newcastle Disease
Poultry,1,44.5,depression,twisted neck,chills,Newcastle Disease
Poultry,2,44.7,sudden death,twisted neck,greenish diarrhea,Newcastle Disease
Goat,2,40.9,fatigue,loss of appetite,sores on gums,PPR
Goat,2,40.7,loss of appetite,painful cough,crackling sound,CCPP
Sheep,3,41.1,fatigue,jaundice,blood in stool,Rift Valley Fever
Goat,7,42.5,shortness of breath,fatigue,loss of appetite,CCPP
Goat,8,41.8,sores on tongue,foul diarrhea,sores on mouth,PPR
Goat,2,41.2,loss of appetite,fatigue,crackling sound,CCPP
Cow,4,41.7,lacrimation,swelling in neck,fatigue,East Coast Fever
Cow,4,41.3,frothing at mouth,difficulty walking,lacrimation,East Coast Fever
Sheep,5,42.2,mass abortion,fatigue,swelling in abdomen,Rift Valley Fever
Goat,8,41.6,jaundice,mass abortion,chills,Rift Valley Fever
Goat,7,42.4,fatigue,loss of appetite,chest discomfort,CCPP
Sheep,3,41.4,fatigue,loss of appetite,foul diarrhea,PPR
Cow,8,41.7,swelling in neck,difficulty walking,lacrimation,East Coast Fever
Goat,7,41.3,fatigue,sores on tongue,sores on mouth,PPR
Sheep,1,41.3,mass abortion,jaundice,chills,Rift Valley Fever
Goat,2,42.2,chest discomfort,loss of appetite,fatigue,CCPP
Goat,8,41.4,chills,jaundice,swelling in abdomen,Rift Valley Fever
Poultry,2,43.6,chills,depression,sudden death,Newcastle Disease
Goat,4,40.4,sores on mouth,sores on tongue,matted eyes,PPR
Goat,2,40.6,sweats,fatigue,mass abortion,Rift Valley Fever
Cow,7,42.2,fatigue,lacrimation,swelling in limb,East Coast Fever
Goat,5,41.2,shortness of breath,crackling sound,chest discomfort,CCPP
Goat,3,40.7,foul diarrhea,matted eyes,loss of appetite,PPR
Cow,1,41.3,blood in stool,chills,swelling in abdomen,Rift Valley Fever
Cow,8,42.0,loss of appetite,swelling in neck,frothing at mouth,East Coast Fever
Goat,4,40.9,chest discomfort,painful cough,shortness of breath,CCPP
Sheep,6,41.1,sores on gums,sores on mouth,loss of appetite,PPR
Poultry,2,43.7,difficulty walking,fatigue,twisted neck,Newcastle Disease
Cow,8,42.8,loss of appetite,lacrimation,swelling in neck,East Coast Fever
Sheep,4,40.2,fatigue,sores on tongue,loss of appetite,PPR
Poultry,1,42.9,twisted neck,greenish diarrhea,fatigue,Newcastle Disease
Cow,2,42.3,swelling in abdomen,chills,jaundice,Rift Valley Fever
Goat,2,41.8,crackling sound,chest discomfort,painful cough,CCPP
Cow,6,42.4,loss of appetite,swelling in neck,frothing at mouth,East Coast Fever
Sheep,3,40.7,sores on mouth,sores on gums,loss of appetite,PPR
Cow,8,41.5,difficulty walking,swelling in neck,swelling in limb,East Coast Fever
Goat,5,41.0,loss of appetite,matted eyes,fatigue,PPR
Sheep,4,41.7,jaundice,swelling in abdomen,chills,Rift Valley Fever
Goat,1,42.0,painful cough,shortness of breath,fatigue,CCPP
Poultry,8,43.4,fatigue,chills,difficulty walking,Newcastle Disease
Goat,5,41.4,loss of appetite,sores on gums,sores on tongue,PPR
Goat,3,41.6,painful cough,loss of appetite,crackling sound,CCPP
Sheep,3,41.1,fatigue,matted eyes,sores on gums,PPR
Goat,6,41.8,blood in stool,jaundice,sweats,Rift Valley Fever
Cow,2,42.8,swelling in limb,difficulty walking,fatigue,East Coast Fever
Cow,1,41.5,loss of appetite,lacrimation,swelling in limb,East Coast Fever
Goat,7,42.2,chills,swelling in abdomen,sweats,Rift Valley Fever
Poultry,2,42.5,difficulty walking,greenish diarrhea,sudden death,Newcastle Disease
Goat,6,42.2,chest discomfort,shortness of breath,crackling sound,CCPP
Poultry,6,44.8,fatigue,depression,greenish diarrhea,Newcastle Disease
Goat,1,42.0,shortness of breath,crackling sound,extended neck,CCPP
Poultry,3,42.6,sudden death,depression,fatigue,Newcastle Disease
Sheep,3,41.0,sores on mouth,fatigue,foul diarrhea,PPR
Goat,3,42.4,extended neck,loss of appetite,shortness of breath,CCPP
Goat,8,41.5,painful cough,chest discomfort,fatigue,CCPP
Goat,7,42.1,painful cough,loss of appetite,extended neck,CCPP
Poultry,5,44.6,depression,fatigue,chills,Newcastle Disease
Cow,2,41.8,swelling in neck,swelling in limb,lacrimation,East Coast Fever
Goat,8,41.6,sores on mouth,sores on gums,loss of appetite,PPR
Cow,6,41.6,swelling in abdomen,blood in stool,jaundice,Rift Valley Fever
Cow,1,41.2,sweats,chills,swelling in abdomen,Rift Valley Fever
Goat,7,42.5,painful cough,loss of appetite,crackling sound,CCPP
Poultry,4,44.3,fatigue,difficulty walking,chills,Newcastle Disease
Sheep,6,40.5,sweats,blood in stool,chills,Rift Valley Fever
Goat,7,41.5,chest discomfort,loss of appetite,crackling sound,CCPP
Sheep,4,41.0,matted eyes,loss of appetite,fatigue,PPR
Cow,4,41.5,fatigue,difficulty walking,loss of appetite,East Coast Fever
Cow,1,41.2,blood in stool,jaundice,fatigue,Rift Valley Fever
Goat,5,40.9,extended neck,chest discomfort,crackling sound,CCPP
Poultry,2,42.2,chills,greenish diarrhea,fatigue,Newcastle Disease
Poultry,6,43.7,difficulty walking,sudden death,fatigue,Newcastle Disease
Goat,8,42.4,crackling sound,painful cough,loss of appetite,CCPP
Cow,5,42.7,difficulty walking,swelling in neck,loss of appetite,East Coast Fever
Poultry,6,43.0,sudden death,depression,chills,Newcastle Disease
Cow,8,42.0,difficulty walking,swelling in neck,frothing at mouth,East Coast Fever
Sheep,3,41.7,fatigue,jaundice,mass abortion,Rift Valley Fever
Goat,2,41.1,loss of appetite,crackling sound,chest discomfort,CCPP
Poultry,1,42.8,difficulty walking,chills,fatigue,Newcastle Disease
Cow,8,41.3,swelling in abdomen,chills,fatigue,Rift Valley Fever
Sheep,7,40.2,matted eyes,foul diarrhea,sores on mouth,PPR
Goat,5,41.0,sores on tongue,fatigue,loss of appetite,PPR
Goat,1,41.3,sores on mouth,loss of appetite,sores on gums,PPR
Poultry,3,44.6,fatigue,difficulty walking,twisted neck,Newcastle Disease
Poultry,1,42.9,fatigue,depression,greenish diarrhea,Newcastle Disease
Sheep,6,40.9,foul diarrhea,loss of appetite,sores on gums,PPR
Poultry,2,45.1,chills,greenish diarrhea,sudden death,Newcastle Disease
Cow,7,42.6,swelling in limb,loss of appetite,lacrimation,East Coast Fever
Sheep,8,40.1,foul diarrhea,sores on tongue,sores on gums,PPR
Cow,4,42.6,swelling in limb,fatigue,loss of appetite,East Coast Fever
Goat,2,41.2,painful cough,extended neck,fatigue,CCPP
Poultry,2,44.9,sudden death,difficulty walking,twisted neck,Newcastle Disease
Goat,5,41.5,fatigue,crackling sound,chest discomfort,CCPP
Goat,6,41.7,extended neck,crackling sound,chest discomfort,CCPP
Poultry,7,42.9,depression,twisted neck,greenish diarrhea,Newcastle Disease
Goat,6,42.1,extended neck,painful cough,shortness of breath,CCPP
Sheep,5,40.8,matted eyes,sores on mouth,fatigue,PPR
Sheep,2,41.4,foul diarrhea,sores on mouth,sores on gums,PPR
Cow,6,41.4,swelling in neck,frothing at mouth,lacrimation,East Coast Fever
Cow,4,42.9,difficulty walking,fatigue,lacrimation,East Coast Fever
Goat,7,41.2,sores on tongue,foul diarrhea,sores on mouth,PPR
Cow,8,41.7,fatigue,lacrimation,loss of appetite,East Coast Fever
Cow,8,41.6,mass abortion,sweats,blood in stool,Rift Valley Fever
Sheep,1,41.7,sweats,jaundice,swelling in abdomen,Rift Valley Fever
Goat,4,41.5,shortness of breath,chest discomfort,extended neck,CCPP
Goat,6,41.8,sores on gums,loss of appetite,sores on tongue,PPR
Cow,7,41.0,frothing at mouth,difficulty walking,swelling in neck,East Coast Fever
Cow,7,42.3,difficulty walking,fatigue,swelling in limb,East Coast Fever
Poultry,2,42.5,greenish diarrhea,twisted neck,sudden death,Newcastle Disease
